Temperature: 22.60 °C | Humidity: 98.00 %
Temperature: 22.60 °C | Humidity: 93.00 %
Temperature: 21.80 °C | Humidity: 59.00 %
Temperature: 21.40 °C | Humidity: 60.00 %
Temperature: 21.40 °C | Humidity: 60.00 %
Temperature: 21.00 °C | Humidity: 59.00 %
Temperature: 21.00 °C | Humidity: 60.00 %
Temperature: 21.00 °C | Humidity: 61.00 %
Temperature: 21.00 °C | Humidity: 61.00 %
Temperature: 21.00 °C | Humidity: 61.00 %
Temperature: 21.40 °C | Humidity: 61.00 %
Temperature: 21.70 °C | Humidity: 60.00 %
Temperature: 21.80 °C | Humidity: 62.00 %
Temperature: 21.80 °C | Humidity: 63.00 %
Temperature: 22.20 °C | Humidity: 63.00 %
Temperature: 22.60 °C | Humidity: 62.00 %
Temperature: 22.60 °C | Humidity: 62.00 %
Temperature: 23.40 °C | Humidity: 62.00 %
Temperature: 23.40 °C | Humidity: 59.00 %
Temperature: 23.40 °C | Humidity: 56.00 %
Temperature: 23.40 °C | Humidity: 60.00 %
Temperature: 23.40 °C | Humidity: 62.00 %
Temperature: 23.40 °C | Humidity: 64.00 %
Temperature: 23.00 °C | Humidity: 69.00 %
Temperature: 23.00 °C | Humidity: 70.00 %
Temperature: 23.00 °C | Humidity: 69.00 %
Temperature: 22.60 °C | Humidity: 69.00 %
Temperature: 22.60 °C | Humidity: 70.00 %
Temperature: 22.20 °C | Humidity: 69.00 %
Temperature: 22.20 °C | Humidity: 69.00 %
Temperature: 21.90 °C | Humidity: 69.00 %
Temperature: 22.20 °C | Humidity: 69.00 %
Temperature: 22.20 °C | Humidity: 69.00 %
Temperature: 22.20 °C | Humidity: 69.00 %
Temperature: 22.60 °C | Humidity: 69.00 %
Temperature: 23.00 °C | Humidity: 81.00 %
Temperature: 23.00 °C | Humidity: 69.00 %
Temperature: 23.00 °C | Humidity: 68.00 %
Temperature: 23.40 °C | Humidity: 68.00 %
Temperature: 21.00 °C | Humidity: 71.00 %
